,Station name,UIC code,Total travelers 2023,Total travelers 2022,Total travelers 2021,Total travelers 2020,Total travelers 2019,Total travelers 2018,Total travelers 2017,Total travelers 2016,Total travelers 2015
1737,Verzeille,87615138,855,679,532,221,189,109,356,903,517
1738,Vias,87781260,12257,12291,9940,6242,6904,6804,5704,5810,5816
1739,Vic-sur-Cère,87645440,12267,8812,10643,6865,9244,10451,11805,11997,12489
1740,Vidauban,87755421,19083,17492,13759,6576,12161,6847,6246,7931,9173
1741,Vienne,87722587,2063036,1956515,1456693,1106437,1768935,1559620,1602133,1492175,1490676
1742,Vierzon Forges,87576090,4886,3307,2773,1644,1940,1138,1533,1812,2816
1743,Vif,87747576,7735,41839,7873,3103,5942,5172,6809,6820,9544
1744,Villabé,87681619,179994,169143,157742,82639,204775,213167,222934,229174,234474
1745,Villedieu-les-Poêles,87447698,112813,94601,66386,52622,101134,87124,86219,79093,69944
1746,Villefranche-sur-Cher,87576884,31470,24293,23779,21318,27715,21068,23003,24318,25589
1747,Villenave-d'Ornon,87581835,11083,12404,12126,7072,10500,8712,8779,8096,9619
1748,Villeneuve-Loubet,87756304,482053,423218,324260,222593,381658,304407,323854,268009,258298
1749,Villereversure,87743328,5776,4611,2045,2323,4444,4119,5214,4098,5430
1750,Villers sur Thère,87316422,0,0,0,0,0,0,0,0,270
1751,Villers-Cotterêts,87271734,408057,397951,321562,253080,370900,353457,392138,389764,416589
1752,Vimy,87342576,23936,20615,14653,10616,19849,16330,15830,17949,18525
1753,Vireux-Molhain,87172114,91208,64839,54152,45468,49956,47819,55273,55435,61673
1754,Viroflay Rive Droite,87382887,2422700,2426142,2157680,999544,2698201,2147701,1720725,1350015,1427232
1755,Viroflay Rive Gauche,87393215,5243758,4651553,3373069,2634272,5633570,5330072,5067446,4726246,4389157
1756,Virville - Manneville,87413336,0,0,0,0,48,2082,2391,3652,5426
1757,Vitrolles Aéroport Marseille Provence,87439554,589410,548809,407431,371747,608933,570757,662865,651615,640000
1758,Wacquemoulin,87316208,1863,1482,1302,1681,3380,3783,5399,6538,7124
1759,Wissembourg,87213470,253716,250964,186578,149990,206134,194074,200694,187709,194148
1760,Wittring,87193656,1362,1927,3101,5284,6744,7293,9824,13676,15023
1761,Ychoux,87582536,219131,182592,133910,95922,142217,114265,106731,94468,96735
